cid,cid_geom
OGAA228,POINT(-102.7163076697651 41.97885741910126)
OGAA310,POINT(-102.0255262216056 40.12746671351294)
OGAA329,POINT(-100.92904751746 40.75293447779419)
OGAA163,POINT(-100.7915621808435 42.90044576107175)
OGAA432,POINT(-100.2621987515888 42.31382064865542)
WIMB457,POINT(-89.77017210267219 46.04033855106488)
WIMB167,POINT(-88.95027452170213 44.00194670805866)
OGAA013,POINT(-101.4506470588651 41.2501846859484)
OGAA249,POINT(-103.3435796953022 41.692024921193)
OGAA031,POINT(-100.5680133191178 42.20869430126049)
OGAA355,POINT(-99.26198411018085 41.748682557169)
WIMB488,POINT(-88.28430496019556 44.33393914938443)
WIMB164,POINT(-88.37376165639526 45.15557405265933)
OGAA440,POINT(-97.40758708086715 40.76468519368773)
OGAA085,POINT(-103.7999807412819 41.73063411244704)
OGAA128,POINT(-99.66255417569867 41.76228633821162)
OGAA325,POINT(-98.69200857093978 40.19844585898974)
WIMB489,POINT(-88.92884373582713 42.9535445243671)
WIMB161,POINT(-89.03128588680453 45.60497454714505)
OGAA327,POINT(-99.48510265315231 41.69041625765423)
OGAA398,POINT(-100.4827934735683 40.13569353643599)
OGAA037,POINT(-100.1004743596138 40.20641760651468)
OGAA113,POINT(-99.71440787461181 40.2710196696293)
OGAA091,POINT(-101.0573511696982 41.12607454549004)
OGAA029,POINT(-101.3627728794402 41.63068278659277)
OGAA429,POINT(-99.08266813570133 42.5698657218289)
OGAA193,POINT(-100.9319025460233 42.25173391143927)
WIMB156,POINT(-88.25275896538162 43.35161827429922)
WIMB155,POINT(-88.32046249828586 42.52811078310246)
OGAA199,POINT(-96.86089477794408 40.47097483712793)
OGAA359,POINT(-100.3521775847768 41.86359221748373)
OGAA420,POINT(-101.7751217450584 42.59873292202606)
OGAA349,POINT(-96.69279360025051 40.28039822306835)
OGAA247,POINT(-102.3394119073762 41.59272738380376)
OGAA334,POINT(-99.02874504862073 41.87269138478275)
WIMB494,POINT(-87.83117231640547 42.68232455440831)
WIMB452,POINT(-87.85057422261616 42.74924345757132)
OGAA263,POINT(-98.17604746612554 42.14046298011642)
OGAA242,POINT(-100.15445412321 42.04398208580191)
OGAA167,POINT(-99.14006004261543 42.25098667783416)
OGAA439,POINT(-99.5611551041049 42.60530486280962)
WIMB451,POINT(-89.06449434118241 42.80252272093799)
WIMB151,POINT(-87.96215133365877 43.04955442688417)
OGAA383,POINT(-102.2687151474654 42.21551388547794)
OGAA015,POINT(-103.1541290426144 41.8829533207383)
OGAA214,POINT(-99.71646760632473 40.62273740784371)
OGAA421,POINT(-99.48512449871752 42.81958813707149)
OGAA297,POINT(-98.31580474900609 41.55598962124149)
WIMB150,POINT(-88.17004767177782 44.29119800031737)
WIMB148,POINT(-88.51746645596134 42.7629574514958)
OGAA083,POINT(-99.34928279372272 40.95712901652426)
OGAA129,POINT(-97.87108334015316 40.22312901224861)
OGAA419,POINT(-99.81644947365045 41.83453768412313)
OGAA050,POINT(-97.53767710571609 40.41501182752042)
WIMB789,POINT(-88.8880250643366 43.52396403203412)
WIMB445,POINT(-87.91811114891283 43.07819746603223)
OGAA126,POINT(-97.67697732712973 41.1751491412908)
OGAA073,POINT(-98.21802750803776 41.30973273792998)
